game_id,play_id,season,week,prior_wp,url,posteam,home_team,away_team,desc,play_type,go_boost,go,should_go,yardline_100,ydstogo,qtr,mins,seconds
2020_06_ARI_DAL,514,2020,6,0.4248858392238617,https://rbsdm.com/stats/fourth_calculator/?_inputs_&posteam_to=%223%22&posteam=%22ARI%22&home_ko=%220%22&mins=8&update=0&defteam_to=%223%22&qtr=%221%22&season=%222020%22&away=%22ARI%22&yardline=40&secs=27&score_diff=0&home=%22DAL%22&ydstogo=10&runoff=0,ARI,DAL,ARI,"(8:27) 4-A.Lee punts 30 yards to DAL 10, Center-46-A.Brewer, downed by ARI-31-C.Banjo.",PUNT,-1.2297992995406801,0,0,40,10,1,8,27
2020_06_ARI_DAL,768,2020,6,0.4068319499492645,https://rbsdm.com/stats/fourth_calculator/?_inputs_&posteam_to=%223%22&posteam=%22ARI%22&home_ko=%220%22&mins=5&update=0&defteam_to=%223%22&qtr=%221%22&season=%222020%22&away=%22ARI%22&yardline=63&secs=26&score_diff=0&home=%22DAL%22&ydstogo=22&runoff=0,ARI,DAL,ARI,"(5:26) 4-A.Lee punts 39 yards to DAL 24, Center-46-A.Brewer. 88-C.Lamb MUFFS catch, and recovers at DAL 26.",PUNT,-4.536910480670578,0,0,63,22,1,5,26
2020_06_ARI_DAL,1202,2020,6,0.5214335322380066,https://rbsdm.com/stats/fourth_calculator/?_inputs_&posteam_to=%223%22&posteam=%22ARI%22&home_ko=%220%22&mins=14&update=0&defteam_to=%223%22&qtr=%222%22&season=%222020%22&away=%22ARI%22&yardline=18&secs=10&score_diff=0&home=%22DAL%22&ydstogo=1&runoff=0,ARI,DAL,ARI,(14:10) (Shotgun) 1-K.Murray left end ran ob at DAL 7 for 11 yards (25-X.Woods).,RUSH,0.5579506008624833,1,1,18,1,2,14,10
2020_06_ARI_DAL,3096,2020,6,0.9979082345962524,https://rbsdm.com/stats/fourth_calculator/?_inputs_&posteam_to=%223%22&posteam=%22ARI%22&home_ko=%220%22&mins=2&update=0&defteam_to=%223%22&qtr=%223%22&season=%222020%22&away=%22ARI%22&yardline=47&secs=52&score_diff=25&home=%22DAL%22&ydstogo=17&runoff=0,ARI,DAL,ARI,"(2:52) 4-A.Lee punts 33 yards to DAL 14, Center-46-A.Brewer, downed by ARI-45-D.Gardeck.",PUNT,-0.037084696296759034,0,0,47,17,3,2,52
2020_06_ARI_DAL,3633,2020,6,0.9992427825927734,https://rbsdm.com/stats/fourth_calculator/?_inputs_&posteam_to=%223%22&posteam=%22ARI%22&home_ko=%220%22&mins=8&update=0&defteam_to=%223%22&qtr=%224%22&season=%222020%22&away=%22ARI%22&yardline=8&secs=58&score_diff=25&home=%22DAL%22&ydstogo=7&runoff=0,ARI,DAL,ARI,"(8:58) 5-Z.Gonzalez 26 yard field goal is GOOD, Center-46-A.Brewer, Holder-4-A.Lee.",FIELD_GOAL,-0.03124531951986853,0,0,8,7,4,8,58
2020_07_SEA_ARI,352,2020,7,0.18586477637290955,https://rbsdm.com/stats/fourth_calculator/?_inputs_&posteam_to=%223%22&posteam=%22ARI%22&home_ko=%220%22&mins=10&update=0&defteam_to=%223%22&qtr=%221%22&season=%222020%22&away=%22SEA%22&yardline=82&secs=34&score_diff=-7&home=%22ARI%22&ydstogo=17&runoff=0,ARI,ARI,SEA,"(10:34) 4-A.Lee punts 48 yards to SEA 34, Center-46-A.Brewer, fair catch by 83-D.Moore.",PUNT,-1.8259630292778954,0,0,82,17,1,10,34
2020_07_SEA_ARI,1637,2020,7,0.31126269698143005,https://rbsdm.com/stats/fourth_calculator/?_inputs_&posteam_to=%223%22&posteam=%22ARI%22&home_ko=%220%22&mins=6&update=0&defteam_to=%223%22&qtr=%222%22&season=%222020%22&away=%22SEA%22&yardline=3&secs=53&score_diff=-6&home=%22ARI%22&ydstogo=3&runoff=0,ARI,ARI,SEA,(6:53) (Shotgun) 1-K.Murray pass incomplete short left to 13-C.Kirk.,PASS,1.3032627213767825,1,1,3,3,2,6,53
2020_07_SEA_ARI,2417,2020,7,0.08076263219118118,https://rbsdm.com/stats/fourth_calculator/?_inputs_&posteam_to=%220%22&posteam=%22ARI%22&home_ko=%220%22&mins=0&update=0&defteam_to=%222%22&qtr=%222%22&season=%222020%22&away=%22SEA%22&yardline=31&secs=4&score_diff=-13&home=%22ARI%22&ydstogo=2&runoff=0,ARI,ARI,SEA,"(:04) 5-Z.Gonzalez 49 yard field goal is GOOD, Center-46-A.Brewer, Holder-4-A.Lee. Penalty on SEA-26-Sq.Griffin, Running Into the Kicker, declined.",FIELD_GOAL,-3.522997619092523,0,0,31,2,2,0,4
2020_07_SEA_ARI,2600,2020,7,0.1169930025935173,https://rbsdm.com/stats/fourth_calculator/?_inputs_&posteam_to=%223%22&posteam=%22ARI%22&home_ko=%220%22&mins=12&update=0&defteam_to=%223%22&qtr=%223%22&season=%222020%22&away=%22SEA%22&yardline=47&secs=0&score_diff=-10&home=%22ARI%22&ydstogo=8&runoff=0,ARI,ARI,SEA,"(12:00) 4-A.Lee punts 47 yards to end zone, Center-46-A.Brewer, Touchback.",PUNT,1.69323553172101,0,1,47,8,3,12,0
2020_07_SEA_ARI,4021,2020,7,0.05773835629224777,https://rbsdm.com/stats/fourth_calculator/?_inputs_&posteam_to=%223%22&posteam=%22ARI%22&home_ko=%220%22&mins=4&update=0&defteam_to=%221%22&qtr=%224%22&season=%222020%22&away=%22SEA%22&yardline=45&secs=12&score_diff=-10&home=%22ARI%22&ydstogo=1&runoff=0,ARI,ARI,SEA,(4:12) 41-K.Drake up the middle to SEA 43 for 2 yards (35-R.Neal). ARI-41-K.Drake was injured during the play.,RUSH,3.1596947212151076,1,1,45,1,4,4,12
