game_id,prior_wp,posteam,home_team,away_team,desc,play_type,go_boost,go,should_go,yardline_100,ydstogo,qtr,mins,seconds,week
2015_07_CLE_STL,0.8191110491752625,LA,LA,CLE,"(8:36) 4-G.Zuerlein 35 yard field goal is No Good, Wide Right, Center-44-J.McQuaide, Holder-6-J.Hekker.",FIELD_GOAL,-7.012953696684804,0,0,17,17,3,8,36,7
2015_15_DEN_PIT,0.6182836294174194,DEN,PIT,DEN,"(15:00) (Punt formation) 4-B.Colquitt punts 52 yards to PIT 30, Center-46-A.Brewer. 84-A.Brown ran ob at PIT 40 for 10 yards.",PUNT,-7.001095152223797,0,0,82,20,4,15,0,15
2015_14_IND_JAX,0.5568966865539551,IND,JAX,IND,"(13:54) 1-P.McAfee punts 63 yards to JAX 20, Center-45-M.Overton. 13-R.Greene ran ob at JAX 20 for no gain.",PUNT,-6.976660678858771,0,0,83,13,3,13,54,14
2015_01_CAR_JAX,0.6654580235481262,CAR,JAX,CAR,"(7:52) (Field Goal formation) 9-G.Gano 43 yard field goal is GOOD, Center-44-J.Jansen, Holder-8-B.Nortman. CAR-60-Da.Williams was injured during the play.",FIELD_GOAL,-6.954538903426943,0,0,25,25,1,7,52,1
2015_16_CIN_DEN,0.5968088507652283,CIN,DEN,CIN,"(12:03) 10-K.Huber punts 46 yards to DEN 34, Center-46-C.Harris. 11-J.Norwood to DEN 48 for 14 yards (30-C.Peerman).",PUNT,-6.927012277898633,0,0,80,9,4,12,3,16
2015_04_BAL_PIT,0.6113892793655396,PIT,PIT,BAL,"(2:20) (Punt formation) 4-J.Berry punts 41 yards to BAL 40, Center-60-G.Warren, fair catch by 15-M.Campanaro.",PUNT,-6.920038122695992,0,0,81,14,3,2,20,4
2015_16_SD_OAK,0.7072052359580994,LAC,LV,LAC,"(8:52) 2-J.Lambo 53 yard field goal is GOOD, NULLIFIED by Penalty, Center-47-M.Windt, Holder-5-M.Scifres. PENALTY on OAK-52-K.Mack, Defensive Holding, 5 yards, enforced at OAK 35 - No Play.",PENALTY,-6.917391325023246,0,0,35,25,4,8,52,16
2015_02_DEN_KC,0.4469854533672333,KC,KC,DEN,"(11:41) 2-D.Colquitt punts 56 yards to DEN 22, Center-41-J.Winchester, out of bounds.",PUNT,-6.914915830852287,0,0,78,18,4,11,41,2
2015_03_OAK_CLE,0.8464686274528503,LV,CLE,LV,"(4:09) (Punt formation) 7-M.King punts 34 yards to CLE 43, Center-59-J.Condo. 11-T.Benjamin MUFFS catch, touched at CLE 43, RECOVERED by OAK-58-N.Ball at CLE 43. 58-N.Ball to CLE 43 for no gain (11-T.Benjamin). Muff occurred on a fair catch",PUNT,-6.912077999023438,0,0,77,7,4,4,9,3
2015_11_GB_MIN,0.3399295508861542,MIN,MIN,GB,"(12:42) (Punt formation) 18-J.Locke punts 44 yards to GB 33, Center-47-K.McDermott, fair catch by 18-R.Cobb.",PUNT,-6.891031154563102,0,0,77,18,2,12,42,11
2015_05_WAS_ATL,0.6551816463470459,ATL,ATL,WAS,"(:05) 3-M.Bryant 38 yard field goal is No Good, Hit Right Upright, Center-47-J.Harris, Holder-5-M.Bosher.",FIELD_GOAL,-6.859556006790534,0,0,20,1,2,0,5,5
2015_02_HOU_CAR,0.800950825214386,CAR,CAR,HOU,"(11:58) 8-B.Nortman punts 49 yards to HOU 36, Center-44-J.Jansen. 12-K.Mumphery to HOU 46 for 10 yards (84-E.Dickson).",PUNT,-6.834314364458038,0,0,85,22,4,11,58,2
2015_11_OAK_DET,0.4769066572189331,DET,DET,LV,"(7:01) 6-S.Martin punts 30 yards to OAK 43, Center-48-D.Muhlbach, downed by DET-25-T.Riddick. PENALTY on DET-10-C.Fuller, Player Out of Bounds on Punt, 5 yards, enforced at OAK 43.",PUNT,-6.833530696204484,0,0,73,13,3,7,1,11
2015_14_WAS_CHI,0.7342373132705688,WAS,CHI,WAS,"(1:27) (Punt formation) 5-T.Way punts 64 yards to CHI 26, Center-57-N.Sundberg. 19-E.Royal to CHI 42 for 16 yards (57-N.Sundberg).",PUNT,-6.827029025616568,0,0,90,20,2,1,27,14
2015_10_MIA_PHI,0.6983377933502197,PHI,PHI,MIA,"(7:31) 8-D.Jones punts 52 yards to MIA 15, Center-46-J.Dorenbos. 14-J.Landry to MIA 21 for 6 yards (16-S.Ajirotutu; 42-C.Maragos).",PUNT,-6.74196958201297,0,0,67,27,3,7,31,10
2015_09_ATL_SF,0.38521623611450195,ATL,SF,ATL,"(10:45) (Punt formation) PENALTY on SF, Defensive 12 On-field, 5 yards, enforced at ATL 27 - No Play.",PENALTY,-6.7286531926895705,0,0,73,18,4,10,45,9
2015_17_MIN_GB,0.47106555104255676,MIN,GB,MIN,"(2:58) 3-B.Walsh 32 yard field goal is GOOD, Center-47-K.McDermott, Holder-18-J.Locke.",FIELD_GOAL,-6.706913034482071,0,0,14,13,2,2,58,17
2015_09_OAK_PIT,0.910925567150116,PIT,PIT,LV,"(2:22) (Punt formation) 4-J.Berry punts 40 yards to OAK 31, Center-60-G.Warren, fair catch by 19-M.Thigpen.",PUNT,-6.703602446747382,0,0,71,21,4,2,22,9
2015_04_GB_SF,0.8350780606269836,GB,SF,GB,"(:02) 2-M.Crosby 44 yard field goal is No Good, Wide Left, Center-61-B.Goode, Holder-8-T.Masthay.",FIELD_GOAL,-6.670706883106419,0,0,26,19,2,0,2,4
2015_13_ATL_TB,0.5140620470046997,ATL,TB,ATL,"(:05) (Field Goal formation) 6-S.Graham 52 yard field goal is GOOD, Center-47-J.Harris, Holder-5-M.Bosher.",FIELD_GOAL,-6.658200493852235,0,0,34,6,2,0,5,13
2015_12_SD_JAX,0.6903961896896362,LAC,JAX,LAC,"(12:41) 5-M.Scifres punts 54 yards to JAX 40, Center-47-M.Windt. 13-R.Greene to SD 45 for 15 yards (47-M.Windt).",PUNT,-6.636114082542861,0,0,94,24,3,12,41,12
2015_16_CHI_TB,0.6441075205802917,CHI,TB,CHI,"(:12) (Field Goal formation) 9-R.Gould 27 yard field goal is GOOD, Center-48-P.Scales, Holder-16-P.O'Donnell.",FIELD_GOAL,-6.622704428858583,0,0,9,9,2,0,12,16
2015_03_TB_HOU,0.6385555267333984,HOU,HOU,TB,"(4:40) 9-S.Lechler punts 53 yards to TB 3, Center-46-J.Weeks. 43-B.Rainey to TB 26 for 23 yards (55-B.McKinney, 57-J.Tuggle).",PUNT,-6.581850664374613,0,0,56,15,3,4,40,3
2015_10_CHI_STL,0.7264522910118103,CHI,LA,CHI,"(1:58) 16-P.O'Donnell punts 52 yards to STL 38, Center-43-T.Gafford. 11-T.Austin to STL 34 for -4 yards (31-C.Prosinski; 11-J.Bellamy). STL-11-T.Austin was injured during the play.",PUNT,-6.542694221419559,0,0,90,19,2,1,58,10
